Column,Missing_values,Pct_missing_values
OP_CARRIER_AIRLINE_ID,0,0.0
OP_CARRIER_FL_NUM,0,0.0
ORIGIN_AIRPORT_ID,0,0.0
DEST_AIRPORT_ID,0,0.0
CRS_DEP_TIME,0,0.0
ARR_DELAY_NEW,193,1.5867795774068896
CANCELLED,0,0.0
DIVERTED,0,0.0
CRS_ELAPSED_TIME,0,0.0
WEATHER_DELAY,9949,81.79725396694894
NAS_DELAY,9949,81.79725396694894
_c12,12163,100.0
Year,0,0.0
FL_DATE,0,0.0
