12888,6,1,1
15041,33,1,1
12003,43,1,2
11002,19,1,1
14986,97,6,9
13851,396,11,22
15412,175,6,12
11150,26,2,2
13367,100,5,6
11537,25,2,1
13244,609,10,54
13232,1585,6,69
11109,179,5,14
10918,21,1,1
11865,31,1,3
12402,113,3,3
13076,16,3,3
11471,8,1,1
15249,97,3,4
14783,125,3,5
10561,69,2,5
14674,26,3,3
11049,45,2,2
11648,36,2,4
10685,58,7,7
13029,55,3,3
13204,2164,12,81
14150,5,1,1
14100,1453,13,49
14252,64,2,4
15607,18,1,1
10926,12,1,2
12397,3,1,1
13342,618,10,31
11695,29,2,1
10728,10,2,1
11973,85,3,3
12523,88,1,7
11884,183,7,11
12016,7,1,1
10792,400,10,19
13433,51,5,2
10874,151,7,11
13873,11,1,2
10423,786,15,38
14489,65,1,5
14520,9,1,2
15991,11,1,2
10739,6,1,2
11057,2535,12,77
13296,183,6,15
10732,28,2,3
13127,8,1,1
13476,92,2,4
14108,80,4,6
13931,278,10,20
12448,156,5,9
11898,38,2,2
11980,11,1,1
12389,23,2,2
15389,18,1,1
10268,5,1,1
11193,595,8,45
11540,375,7,14
14113,29,1,1
15376,359,11,16
11982,84,2,3
12191,1058,8,46
11097,15,1,2
11867,11,1,1
10185,62,2,3
12206,77,4,6
11697,1155,12,51
13303,1425,9,52
12217,146,7,10
11525,21,1,1
10299,318,8,25
14814,120,2,5
10136,55,1,1
12335,9,1,3
12266,3292,10,111
11274,2,1,1
13277,59,2,2
12819,39,1,4
13158,151,4,6
11638,197,5,8
14730,304,9,21
11986,200,9,15
13485,159,7,10
11624,50,5,4
14256,13,1,2
14842,30,2,1
10631,13,1,1
15024,76,5,9
12992,284,8,16
10165,3,1,1
13964,12,1,1
10408,86,3,4
15070,26,3,4
14696,75,5,5
15016,995,13,48
14908,680,10,18
15841,4,1,2
10713,191,6,12
14685,192,4,9
14262,205,8,11
11921,100,4,6
12441,63,4,8
10581,11,1,2
12758,225,7,12
13184,28,2,2
11577,7,1,1
12278,190,9,10
14843,462,7,22
12391,95,1,7
11995,176,7,12
11481,86,3,6
14492,807,13,35
15048,10,1,1
13795,30,2,2
11637,89,5,6
14321,112,8,10
12954,241,5,14
13577,48,4,4
10577,9,1,1
14307,249,8,18
11977,104,5,5
10990,37,2,2
10135,61,6,6
15370,330,8,19
14122,642,13,30
15323,53,2,1
11111,12,2,4
11905,13,1,1
11298,5087,13,145
10157,61,1,3
11423,218,12,15
15401,18,2,1
10372,69,2,6
15919,224,5,11
13871,320,11,18
14802,1,1,1
13388,8,1,3
12982,259,7,11
15411,49,2,2
11259,778,3,21
11203,42,4,3
12129,12,1,2
12896,136,4,7
11778,33,2,3
10154,5,1,2
11003,116,5,7
14576,161,10,12
11433,2129,12,115
14543,28,1,3
12156,15,2,3
10666,22,2,3
13121,2,1,2
12478,1821,10,65
10146,13,1,1
13377,62,2,3
12884,42,3,3
12451,459,11,26
14107,3306,14,79
14711,9,1,1
10397,6929,13,155
14679,1445,13,42
10754,13,1,2
11415,6,1,1
13424,19,1,1
10551,11,1,1
11067,48,1,2
12915,26,2,2
11618,2194,12,80
15304,1170,11,56
14905,22,1,1
12007,15,1,1
14193,177,6,9
10785,79,5,9
10333,8,1,2
11267,210,9,13
11612,53,3,4
11617,19,1,1
10140,531,10,26
15356,5,1,4
13061,41,2,2
11413,32,3,3
12511,13,1,1
12951,105,2,3
16218,49,2,2
13891,375,8,15
14027,405,8,21
14057,930,11,47
13241,7,1,1
11066,507,11,25
13360,28,2,1
14869,1947,12,81
11337,50,2,3
15295,3,1,1
12889,2529,13,74
10721,1867,14,55
11775,135,7,6
10779,13,1,1
14524,338,10,17
10643,25,3,5
10980,78,3,4
12436,6,1,1
14709,13,1,2
10781,138,3,4
10747,40,3,2
12339,562,12,30
14457,85,4,6
13970,9,1,2
10930,21,1,2
13256,71,4,3
10141,11,1,1
11292,4243,13,139
13830,453,7,18
11013,7,1,1
11953,52,2,2
11146,60,4,7
10170,13,1,1
15897,3,1,1
12173,1000,7,27
13486,66,2,5
13422,93,3,4
11823,78,4,5
11076,13,1,1
10466,2,1,1
15624,109,3,3
11122,53,1,2
10279,130,3,5
10599,326,8,22
11996,182,5,15
10361,15,1,1
13796,804,9,27
13264,55,1,3
10431,68,5,6
12945,121,6,8
14831,713,11,25
13459,14,2,2
12891,45,1,1
11630,78,3,6
11997,1,1,1
10257,165,7,13
11140,135,4,3
14960,26,1,1
13933,1,1,1
13487,2154,12,107
12094,14,4,6
12323,69,5,3
10434,31,3,4
12953,1836,12,54
11278,1259,14,43
10155,26,1,1
12892,3962,14,79
11721,66,6,8
14794,36,1,3
14683,758,13,30
11042,872,11,56
10529,397,11,25
11503,40,4,9
13198,901,13,38
11308,14,1,1
14588,17,1,1
12320,2,1,2
14689,201,4,6
10469,33,4,3
15380,47,5,5
14747,1839,12,57
14574,52,3,4
13230,111,8,7
10849,63,4,7
14098,50,4,4
10693,1019,10,46
14698,85,2,3
12012,15,4,3
10620,57,4,4
10731,18,1,1
13495,694,13,38
11252,41,2,2
11587,5,2,2
10994,252,9,16
14893,771,11,25
11041,36,1,1
11315,8,2,2
13502,33,5,6
14006,11,1,1
14570,317,8,16
11603,110,1,5
12264,1337,11,72
15096,136,8,12
12343,3,1,3
12177,8,1,1
15027,23,3,3
11641,54,3,2
13930,5577,12,148
14771,3105,12,76
14635,467,10,33
14487,31,1,1
10208,49,4,3
14633,32,3,2
12197,141,5,8
10821,1851,11,69
10627,79,5,3
12280,69,1,3
13344,13,1,1
10800,463,6,11
10868,113,4,7
13290,32,1,2
11336,2,1,1
13024,15,1,2
14828,29,1,3
12363,10,1,1
14254,20,1,2
14952,44,2,2
