12888,7,1,1
15041,37,1,1
12003,48,1,2
11002,22,1,1
14986,108,7,10
13851,447,11,22
15412,211,6,12
11150,30,2,2
13367,113,5,6
11537,34,2,1
13244,686,10,55
13232,1777,6,69
11109,194,5,14
10918,23,1,1
11865,36,1,3
12402,127,3,3
13076,19,3,3
11471,11,1,1
15249,109,3,4
14783,137,3,5
10561,78,2,5
14674,30,3,3
11049,50,2,2
11648,43,2,4
10685,63,7,7
13029,60,3,3
13204,2402,12,83
14150,8,1,1
14100,1620,13,50
14252,70,2,4
15607,19,1,1
10926,13,1,2
12397,7,1,1
13342,698,10,31
11695,31,2,1
10728,10,2,1
11973,95,3,3
12523,98,1,7
11884,205,7,12
12016,10,1,1
10792,452,10,19
13433,61,5,2
10874,169,7,11
13873,12,1,2
10423,876,15,38
14222,1,1,1
14489,72,1,5
14520,11,1,2
15991,16,1,2
10739,7,1,2
11057,2836,12,77
10732,28,2,3
13296,215,6,15
13127,9,1,1
13476,98,2,4
14108,88,4,6
13931,317,10,20
12448,179,5,9
11898,43,2,2
11980,14,1,1
12389,28,2,2
15389,20,1,1
10268,5,1,1
11193,681,8,45
11540,407,7,14
14113,30,1,1
15376,395,11,16
11982,91,2,3
12191,1200,8,47
11097,15,1,2
11867,14,1,1
10185,71,2,3
12206,89,4,6
11697,1336,12,51
13303,1604,10,52
12217,159,7,10
11525,24,1,1
10299,343,8,25
14814,139,2,5
10136,60,1,1
12335,10,1,3
12266,3698,10,112
11274,2,1,1
13277,68,2,2
12819,46,1,4
13158,186,4,6
11638,223,5,8
14730,330,9,21
11986,221,9,15
13485,176,7,11
11624,61,5,5
14256,15,1,2
14842,36,2,1
10631,13,1,1
15024,85,5,9
12992,317,8,16
10165,3,1,1
13964,12,1,1
10408,93,3,4
15070,31,3,4
15016,1115,13,48
14908,767,10,18
14696,94,5,5
15841,4,1,2
10713,211,6,12
14685,209,4,9
14262,224,8,11
11921,113,4,6
12441,67,5,8
10581,13,1,2
12758,260,7,12
13184,34,2,2
11577,10,1,1
12278,216,9,10
14843,509,7,22
12391,109,1,7
11995,199,7,12
11481,100,3,6
14492,917,13,35
15048,10,1,1
