Task,Duration (seconds)
read_parquet,34.440846792
Create_tables,49.348629292
Join_tables_first_step,0.189732709
Join_tables_second_step_column,7.790067708
Join_tables_second_step_line,1.821257666
Store_parquet_FinalDf,262.344034959
FilteredDataFrames,13.43164325
RandomForest,161.679240708
